round,region,country,country_in_filter,year,status,dataset.status,dataset.url,archive,extra_info,report_url
MICS3,Latin America and Caribbean,Cuba,Cuba,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Latin%20America%20and%20Caribbean/Cuba/2006/Datasets/Cuba%202006%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Latin%20America%20and%20Caribbean/Cuba/2006/Archive/cuba-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Latin%20America%20and%20Caribbean/Cuba/2006/Final/Cuba%202006%20MICS_Spanish.pdf
MICS3,Latin America and Caribbean,Guyana,Guyana,2006-2007,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Latin%20America%20and%20Caribbean/Guyana/2006-2007/Datasets/Guyana%202006-07%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Latin%20America%20and%20Caribbean/Guyana/2006-2007/Final/Guyana%202006-07%20MICS_English.pdf
MICS3,Latin America and Caribbean,Jamaica,Jamaica,2005,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Latin%20America%20and%20Caribbean/Jamaica/2005/Datasets/Jamaica%202005%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Latin%20America%20and%20Caribbean/Jamaica/2005/Archive/jamaica-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Latin%20America%20and%20Caribbean/Jamaica/2005/Final/Jamaica%202005%20MICS_English.pdf
MICS3,Latin America and Caribbean,Suriname,Suriname,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Latin%20America%20and%20Caribbean/Suriname/2006/Datasets/Suriname%202006%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Latin%20America%20and%20Caribbean/Suriname/2006/Final/Suriname%202006%20MICS_English.pdf
MICS3,Latin America and Caribbean,Trinidad and Tobago,Trinidad and Tobago,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Latin%20America%20and%20Caribbean/Trinidad%20and%20Tobago/2006/Datasets/Trinidad%20and%20Tobago%202006%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Latin%20America%20and%20Caribbean/Trinidad%20and%20Tobago/2006/Final/Trinidad%20and%20Tobago%202006%20MICS_English.pdf
MICS3,Middle East and North Africa,Djibouti,Djibouti,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Middle%20East%20and%20North%20Africa/Djibouti/2006/Datasets/Djibouti%202006%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Middle%20East%20and%20North%20Africa/Djibouti/2006/Archive/djibouti-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Middle%20East%20and%20North%20Africa/Djibouti/2006/Final/Djibouti%202006%20MICS_French.pdf
MICS3,Middle East and North Africa,Iraq,Iraq,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Middle%20East%20and%20North%20Africa/Iraq/2006/Datasets/Iraq%202006%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Middle%20East%20and%20North%20Africa/Iraq/2006/Archive/iraq-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Middle%20East%20and%20North%20Africa/Iraq/2006/Final/Iraq%202006%20MICS_English.pdf
MICS3,Middle East and North Africa,Lebanon (Palestinians),Lebanon,2005-2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Middle%20East%20and%20North%20Africa/Lebanon%20%28Palestinians%29/2005-2006/Datasets/Lebanon%20%28Palestinians%29%202006%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Middle%20East%20and%20North%20Africa/Lebanon%20%28Palestinians%29/2005-2006/Archive/palestiniansinlebanon-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Middle%20East%20and%20North%20Africa/Lebanon%20%28Palestinians%29/2005-2006/Final/Lebanon%20%28Palestinians%29%202006%20MICS_Arabic.pdf
MICS3,Middle East and North Africa,Syrian Arab Republic,Syrian Arab Republic,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Middle%20East%20and%20North%20Africa/Syrian%20Arab%20Republic/2006/Datasets/Syrian%20Arab%20Republic%202006%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Middle%20East%20and%20North%20Africa/Syrian%20Arab%20Republic/2006/Final/Syrian%20Arab%20Republic%202006%20MICS_Arabic.pdf
MICS3,Middle East and North Africa,Yemen,Yemen,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Middle%20East%20and%20North%20Africa/Yemen/2006/Datasets/Yemen%202006%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Middle%20East%20and%20North%20Africa/Yemen/2006/Archive/yemen-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Middle%20East%20and%20North%20Africa/Yemen/2006/Final/Yemen%202006%20MICS_English.pdf
MICS3,South Asia,Bangladesh,Bangladesh,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/South%20Asia/Bangladesh/2006/Datasets/Bangladesh%202006%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/South%20Asia/Bangladesh/2006/Archive/bangladesh-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/South%20Asia/Bangladesh/2006/Final/Bangladesh%202006%20MICS_English.zip
MICS3,West and Central Africa,Burkina Faso,Burkina Faso,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Burkina%20Faso/2006/Datasets/Burkina%20Faso%202006%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Burkina%20Faso/2006/Final/Burkina%20Faso%202006%20MICS_French.pdf
MICS3,West and Central Africa,Cameroon,Cameroon,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Cameroon/2006/Datasets/Cameroon%202006%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Cameroon/2006/Final/Cameroon%202006%20MICS_French.pdf
MICS3,West and Central Africa,Central African Republic,Central African Republic,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Central%20African%20Republic/2006/Datasets/Central%20African%20Republic%202006%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Central%20African%20Republic/2006/Final/Central%20African%20Republic%202006%20MICS_French.pdf
MICS3,West and Central Africa,Côte d'Ivoire,Côte d'Ivoire,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/C%C3%B4te%20d%27Ivoire/2006/Datasets/Cote%20d%27Ivoire%202006%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/C%C3%B4te%20d%27Ivoire/2006/Archive/cotedivoire-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/C%C3%B4te%20d%27Ivoire/2006/Final/Cote%20d%27Ivoire%202006%20MICS_French.pdf
MICS3,West and Central Africa,Gambia,Gambia,2005-2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Gambia/2005-2006/Datasets/Gambia%202005-06%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Gambia/2005-2006/Archive/gambia-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Gambia/2005-2006/Final/Gambia%202005-06%20MICS_English.pdf
MICS3,West and Central Africa,Ghana,Ghana,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Ghana/2006/Datasets/Ghana%202006%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Ghana/2006/Final/Ghana%202006%20MICS_English.pdf
MICS3,West and Central Africa,Guinea-Bissau,Guinea-Bissau,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Guinea-Bissau/2006/Datasets/Guinea-Bissau%202006%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Guinea-Bissau/2006/Final/Guinea-Bissau%202006%20MICS_French.pdf
